Community,PC-1,PC-2,Log10(KP-CFU)
Mix67,1.1976803137065377,-1.1937222830917058,6.380211422667602
Mix68,0.11572012886317874,-1.1262886949443047,7.255272529230776
Mix69,-0.7134539492843907,-1.5588956307652377,6.52504493667697
Mix70,0.1982826135411045,-1.083610785650531,7.505149991891608
Mix71,0.08713787086604946,0.6375754193185265,6.255272746377951
Mix72,0.4161560311143754,-0.8454370500156545,4.518527100117336
Mix73,-2.651701197393093,3.772174695602222,5.414975018330997
Mix74,0.08351613952060402,-0.11264741082774589,6.176091548585239
Mix75,2.2225025278074804,-2.308363984913523,7.380211259807209
Mix76,0.2589854158092477,-0.305698602235502,5.5051513354880415
Mix77,0.6876439879887255,-0.9065015225438301,6.431363925008766
Mix78,1.5246391388314684,0.7621408355563368,6.176091548585239
Mix79,0.24417126984848245,-1.7129086836398328,5.954242991988481
Mix80,-0.1740875797659437,1.5344092119444386,6.176091548585239
Mix81,-2.651701197393093,3.772174695602222,5.146131137770602
Mix82,2.262390228729296,0.17982951554251558,5.230451476044183
Mix83,0.7431897961019499,0.8320328045371355,5.672098781965547
Mix84,1.7966820452741568,-0.33544036983713776,7.204120009799329
Mix85,-0.375888725158431,1.5904010992778526,5.8512589604010135
Mix86,2.174986990019303,0.06196148618517644,7.612783867312284
Mix87,0.5568313950726297,0.2582649385543018,7.176091288008646
Mix88,0.14600573601968464,0.5511714956351785,6.6020600999015695
Mix89,2.5730338822244,0.8453831059337419,8.204119985370266
Mix90,1.944319814005191,0.1125573465335162,6.230449176845541
Mix91,3.681757188503126,3.1673100024656717,6.7781513227660515
Mix92,1.9201737599317035,0.09814130363585272,8.113943355647564
Mix93,2.5256672748066946,2.7503609540798166,5.518515255919778
Mix94,3.0784499099025835,1.8754183842170036,4.051191124685698
Mix95,4.338644967605666,5.147925761868237,4.63347855533382
Mix96,5.095386861214617,2.191551631368157,0.0
