"sample","sampleid","otu","Kingdom","Phylum","Class","Order","Family","Genus","pctseqs"
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00671;seqs=87264;samples=2417","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Lawsonibacter",0.00117774070075572
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00703;seqs=81633;samples=497","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",0.000687015408774168
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00708;seqs=81333;samples=915","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Kineothrix",0.000785160467170478
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00750;seqs=77434;samples=1657","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Schwartzia",0.000294435175188929
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00784;seqs=71176;samples=1487","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",0.000981450583963098
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00880;seqs=60068;samples=362","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Paramuribaculum",0.00471096280302287
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV00917;seqs=55847;samples=287","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Harryflintia",0.000785160467170478
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01001;seqs=48324;samples=615","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter",0.000883305525566788
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01092;seqs=42394;samples=254","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae Sedis XIII","Bacilliculturomica",0.00166846599273727
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01123;seqs=40125;samples=551","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",0.000392580233585239
"MMF.16S.298_E16.D0.M1","E16.D0.M1","ASV01141;seqs=39434;samples=489","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",0.00176661105113358
